Feature,CompGroup(C),BaseGroup(B),NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,95%Conf.Int.1,95%Conf.Int.2,MeanC,MeanB,NullValue-DifferenceInMeans,Alternative,Method,FDR
X3271687_PPP2R2D,Relapse,RelapseFree,20,20,-1.05215481522814,-0.469267784615512,37.9934570537119,0.641560158992361,-0.389763518123151,0.243069518123151,5.157666,5.231013,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2733483_BMP3,Relapse,RelapseFree,20,20,1.07020895063148,0.469541128416241,35.0370203765289,0.641592022185156,-0.325339507507708,0.521124507507709,4.346517,4.2486245,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3808600_MBD2,Relapse,RelapseFree,20,20,-1.05714553266847,-0.469060795132329,37.6861753026698,0.641728518281203,-0.426287287615392,0.265939287615391,6.8115365,6.8917105,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3805614_SYT4,Relapse,RelapseFree,20,20,-1.04383523027078,-0.469039448959703,37.431341989375,0.641761954753324,-0.329164468988447,0.205376468988448,3.6954285,3.7573225,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2420511_C1orf180,Relapse,RelapseFree,20,20,1.07749449612307,0.469043984426742,37.2044000731425,0.641775267371814,-0.357395208584126,0.572756208584126,3.166658,3.0589775,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2980290_RGS17,Relapse,RelapseFree,20,20,1.06483618315354,0.469572533828529,32.6602801707787,0.641780489791798,-0.302202512626788,0.483465512626789,2.682439,2.5918075,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3938175_UBE2L3,Relapse,RelapseFree,20,20,1.05428834929761,0.468988824382621,36.8176325480637,0.641842953571928,-0.25329598248397,0.405834982483969,4.861299,4.7850295,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2501120_IL1F9,Relapse,RelapseFree,20,20,-1.02985198383603,-0.469280957776007,33.6781517585233,0.641892869254457,-0.22627724977406,0.14140324977406,3.9228845,3.9653215,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3836705_HIF3A,Relapse,RelapseFree,20,20,1.02730174455872,0.468971397478534,35.6470569379783,0.641945693918416,-0.129250116710218,0.206970116710217,4.748726,4.709866,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3959905_C22orf33,Relapse,RelapseFree,20,20,1.02586436702907,0.469028944376383,34.9839355237392,0.641958849895355,-0.122617970880507,0.196297970880507,2.740405,2.703565,0,two.sided,Welch Two Sample t-test,0.998325515159334
