"","CompGroup.C.","BaseGroup.B.","NumSamplesInC","NumSamplesInB","SignedFC","Tstatistic","Parameter","Pvalue","X95.Conf.Int.1","X95.Conf.Int.2","MeanC","MeanB","NullValue.DifferenceInMeans","Alternative","Method","FDR"
"X3911485_APCDD1L","Relapse","RelapseFree",20,20,1.174957848,2.920522719,37.50299994,0.005884596,0.071303177,0.393914823,5.573352,5.340743,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3688178_ZNF668","Relapse","RelapseFree",20,20,-1.218751082,-2.928539241,35.18563409,0.00593921,-0.483212239,-0.087594761,4.6012945,4.886698,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2903219_","Relapse","RelapseFree",20,20,-2.044139989,-2.945339458,31.55463897,0.006013987,-1.745248116,-0.317739884,4.172496,5.20399,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2772805_GC","Relapse","RelapseFree",20,20,-1.138845469,-2.916337366,36.58321576,0.006017397,-0.317942096,-0.057201904,2.323548,2.51112,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2701018_GPR171","Relapse","RelapseFree",20,20,-1.198799594,-2.90411422,37.9702853,0.006107417,-0.443944172,-0.079236828,2.8715545,3.133145,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3061456_SAMD9L","Relapse","RelapseFree",20,20,-1.437787534,-2.895072715,37.41997556,0.006293458,-0.890342149,-0.157358851,4.11079,4.6346405,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2926437_MGC34034","Relapse","RelapseFree",20,20,-1.167168619,-2.894434495,36.04885358,0.006411105,-0.379268063,-0.066757937,2.128694,2.351707,0,"two.sided","Welch Two Sample t-test",0.998325515
"X4027302_DNASE1L1","Relapse","RelapseFree",20,20,1.097159292,2.879093288,37.88426905,0.006524285,0.03970295,0.22784305,4.79419,4.660417,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3898913_LOC100131642","Relapse","RelapseFree",20,20,1.546581113,2.880756314,37.33858734,0.006537539,0.186749987,1.071415013,3.3904865,2.761404,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3737274_RNF213","Relapse","RelapseFree",20,20,-1.377020464,-2.875520559,35.00178165,0.006821316,-0.787402168,-0.135697832,6.391084,6.852634,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3070499_RNF133","Relapse","RelapseFree",20,20,-1.252969677,-2.873373767,35.04434372,0.006854985,-0.555209791,-0.095493209,2.0521405,2.377492,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2636483_SIDT1","Relapse","RelapseFree",20,20,1.596380985,2.890558612,31.14222652,0.006948693,0.198765817,1.150844183,5.296241,4.621436,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3355145_ST3GAL4","Relapse","RelapseFree",20,20,1.509466773,2.95666698,23.47677459,0.006977255,0.178881036,1.009196964,5.6793275,5.0852885,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2514365_BBS5","Relapse","RelapseFree",20,20,-1.189420214,-2.852858718,37.89184668,0.006981921,-0.427859071,-0.072657929,2.4968865,2.747145,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3752271_EVI2A","Relapse","RelapseFree",20,20,-1.219239037,-2.85572748,36.16346045,0.007071108,-0.489048463,-0.082913537,2.417501,2.703482,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3397003_KIRREL3","Relapse","RelapseFree",20,20,1.12266656,2.846486973,36.77995223,0.007187731,0.048081384,0.285777616,4.6246895,4.45776,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2982028_RSPH3","Relapse","RelapseFree",20,20,1.166872151,2.840787647,37.84004749,0.007206794,0.063962745,0.381330255,6.0909665,5.86832,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3765848_TBC1D3P2","Relapse","RelapseFree",20,20,-1.479256772,-2.848588832,35.64197488,0.007247371,-0.967181961,-0.162563039,1.8173015,2.382174,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3687435_TBX6","Relapse","RelapseFree",20,20,1.137388009,2.832499116,37.95231884,0.007353205,0.052981261,0.318467739,4.9560415,4.770317,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2911226_BEND6","Relapse","RelapseFree",20,20,-1.235931683,-2.858186799,30.37146863,0.007626802,-0.523848024,-0.087349976,2.152216,2.457815,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2337407_PCSK9","Relapse","RelapseFree",20,20,1.104226401,2.823998512,36.49816269,0.007638252,0.040361359,0.245710641,5.553921,5.410885,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2886595_LCP2","Relapse","RelapseFree",20,20,-1.262933346,-2.841220155,32.87299332,0.007658352,-0.577971211,-0.095585789,5.501457,5.8382355,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3948528_UPK3A","Relapse","RelapseFree",20,20,1.225930336,2.819012226,37.14551263,0.007679757,0.082677974,0.505076026,4.5880945,4.2942175,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2779543_EMCN","Relapse","RelapseFree",20,20,-1.20606361,-2.865598375,28.87506008,0.007685065,-0.463264571,-0.077347429,2.7317095,3.0020155,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2746507_","Relapse","RelapseFree",20,20,-1.243781445,-2.84417096,31.24616127,0.00778693,-0.540351394,-0.089114606,1.668595,1.983328,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3957790_PIK3IP1","Relapse","RelapseFree",20,20,1.178929543,2.808539857,37.57329263,0.007851471,0.066239972,0.408715028,4.528999,4.2915215,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3555850_OR5AU1","Relapse","RelapseFree",20,20,1.431444763,2.798563139,37.33844206,0.008074491,0.142930812,0.892013188,3.715794,3.198322,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3918535_IL10RB","Relapse","RelapseFree",20,20,1.335485674,2.811308411,33.71812339,0.008160911,0.115566246,0.719162754,5.133056,4.7156915,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3717452_SH3GL1P1","Relapse","RelapseFree",20,20,-1.260538778,-2.80393099,34.91081404,0.008189663,-0.575915284,-0.092165716,2.5056925,2.839733,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3777770_","Relapse","RelapseFree",20,20,-1.293629066,-2.789655805,37.43935048,0.008251055,-0.641091146,-0.101756854,1.829815,2.201239,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3664836_CMTM2","Relapse","RelapseFree",20,20,1.153997021,2.80716823,33.47729338,0.008272087,0.056957114,0.356321886,5.0165675,4.809928,0,"two.sided","Welch Two Sample t-test",0.998325515
