Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
X3300038_NUDT9P1,Relapse,RelapseFree,20,20,-1.23643423,-2.554342883,31.53921331,0.015677748,-0.550489824,-0.061881176,2.6705355,2.976721,0,two.sided,Welch Two Sample t-test,0.998325515
X2337369_TMEM61,Relapse,RelapseFree,20,20,1.254101399,2.547650107,32.94833428,0.015696137,0.065777458,0.587530542,4.264144,3.93749,0,two.sided,Welch Two Sample t-test,0.998325515
X2773947_CXCL9,Relapse,RelapseFree,20,20,-1.699500163,-2.545261437,33.43676273,0.015709952,-1.376386387,-0.153834613,3.759072,4.5241825,0,two.sided,Welch Two Sample t-test,0.998325515
X3336074_RAB1B,Relapse,RelapseFree,20,20,1.284915957,2.546532217,33.12479221,0.015710402,0.072761107,0.650586893,6.2253435,5.8636695,0,two.sided,Welch Two Sample t-test,0.998325515
X3292946_TACR2,Relapse,RelapseFree,20,20,1.175247816,2.52896725,37.62208763,0.015756963,0.046419046,0.419510954,5.268035,5.03507,0,two.sided,Welch Two Sample t-test,0.998325515
X2990404_SCIN,Relapse,RelapseFree,20,20,1.624983985,2.57760605,26.18473031,0.015923561,0.142058156,1.258792844,4.5264505,3.826025,0,two.sided,Welch Two Sample t-test,0.998325515
X2318455_CAMTA1,Relapse,RelapseFree,20,20,-1.287080242,-2.524682855,36.74431661,0.016031333,-0.656381899,-0.071822101,4.495213,4.859315,0,two.sided,Welch Two Sample t-test,0.998325515
X2854327_FYB,Relapse,RelapseFree,20,20,-1.324822886,-2.529701689,34.87728752,0.016089614,-0.731498144,-0.080100856,4.026729,4.4325285,0,two.sided,Welch Two Sample t-test,0.998325515
X2501238_PSD4,Relapse,RelapseFree,20,20,1.095408895,2.527292288,35.22113956,0.016134252,0.02588718,0.23705182,4.521409,4.3899395,0,two.sided,Welch Two Sample t-test,0.998325515
X3354380_HEPACAM,Relapse,RelapseFree,20,20,1.31320441,2.516521431,37.82276713,0.016214717,0.076823734,0.709359266,4.2107255,3.817634,0,two.sided,Welch Two Sample t-test,0.998325515
X2565935_ANKRD36B,Relapse,RelapseFree,20,20,-2.030318411,-2.55601345,28.25106089,0.01624735,-1.840180675,-0.203231325,1.4255375,2.4472435,0,two.sided,Welch Two Sample t-test,0.998325515
X3917563_KRTAP15.1,Relapse,RelapseFree,20,20,1.456095016,2.510336327,36.72250799,0.016598521,0.104438727,0.979770273,3.007254,2.4651495,0,two.sided,Welch Two Sample t-test,0.998325515
X3856908_ZNF99,Relapse,RelapseFree,20,20,-1.242271921,-2.50984177,36.53335006,0.016643146,-0.565759198,-0.060202802,2.3651245,2.6781055,0,two.sided,Welch Two Sample t-test,0.998325515
